UNSECURED CREDIT CARD,,,,,,,,,,,,,,,,,,,,,,,,,
Average Consumer Balances,,,,,,,,,Delinquency,,,,,,,,,Default#,,,,,,,
Age Group,,,,,,,,,Age Group,,,,,,,,,Age Group,,,,,,,
Month,21-29,30-34,35-39,40-44,45-49,50-54,>54,,Month,21-29,30-34,35-39,40-44,45-49,50-54,>54,,Month,21-29,30-34,35-39,40-44,45-49,50-54,>54
FEB'24,"$395,011","$303,264","$313,022","$322,339","$381,319","$430,809","$481,734",,FEB'24,,0.680%,0.200%,0.140%,0.080%,0.130%,0.070%,,FEB'24,,,,,,,
MAR'24,"$394,977","$300,923","$317,422","$323,789","$375,110","$429,114","$479,303",,MAR'24,,1.220%,0.270%,0.280%,0.080%,0.290%,0.230%,,MAR'24,,,,,,,
APR'24,"$404,964","$302,888","$324,615","$324,622","$375,745","$429,857","$481,578",,APR'24,,0.800%,0.270%,0.190%,0.200%,0.320%,0.100%,,APR'24,,,,,,,
MAY'24,"$417,744","$299,235","$330,621","$325,788","$379,788","$433,332","$482,665",,MAY'24,0.410%,1.060%,0.200%,0.090%,0.120%,0.390%,0.370%,,MAY'24,,,,,,,0.012%
JUN'24,"$418,984","$302,542","$333,837","$331,221","$381,868","$436,212","$486,138",,JUN'24,,0.660%,0.270%,0.050%,0.150%,0.190%,0.070%,,JUN'24,,,,,,,
JUL'24,"$414,555","$307,074","$335,589","$337,495","$386,168","$438,629","$485,170",,JUL'24,,0.400%,0.200%,0.050%,0.040%,0.060%,0.080%,,JUL'24,,,,,,,
AUG'24,"$417,515","$306,111","$336,709","$339,981","$390,520","$440,585","$487,435",,AUG'24,,0.400%,0.330%,0.090%,0.190%,0.130%,0.130%,,AUG'24,,,,,,,
SEP'24,"$417,953","$307,281","$345,362","$338,034","$391,005","$439,153","$486,559",,SEP'24,,0.400%,0.130%,,0.310%,,0.110%,,SEP'24,,,,,,,
OCT'24,"$415,158","$310,368","$344,251","$343,863","$395,177","$445,776","$485,589",,OCT'24,,0.270%,0.130%,0.090%,0.350%,0.190%,0.110%,,OCT'24,,,,,,,
NOV'24,"$417,850","$311,828","$346,712","$346,346","$395,185","$449,781","$489,478",,NOV'24,,0.400%,0.200%,0.280%,0.230%,0.190%,0.160%,,NOV'24,,,,,,,
DEC'24,"$428,333","$313,004","$342,927","$346,619","$396,645","$450,212","$490,457",,DEC'24,,0.530%,0.260%,0.190%,0.240%,0.130%,0.250%,,DEC'24,,,,,,,
AVG,"$408,660","$305,637","$330,965","$332,586","$386,171","$438,578","$485,256",,AVG,0.410%,0.580%,0.230%,0.160%,0.180%,0.190%,0.150%,,AVG,,,,,,,0.012%
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
REAL ESTATE LOAN,,,,,,,,,,,,,,,,,,,,,,,,,
Average Consumer Balances,,,,,,,,,Delinquency,,,,,,,,,Default,,,,,,,
Age Group,,,,,,,,,Age Group,,,,,,,,,Age Group,,,,,,,
Month,21-29,30-34,35-39,40-44,45-49,50-54,>54,,Month,21-29,30-34,35-39,40-44,45-49,50-54,>54,,Month,21-29,30-34,35-39,40-44,45-49,50-54,>54
DEC'23,"$444,883","$390,595","$418,042","$423,909","$398,960","$371,856","$287,874",,DEC'23,0.190%,0.150%,0.200%,0.360%,0.500%,0.690%,1.020%,,DEC'23,,,,,,,0.000%
JAN'24,"$473,595","$393,353","$414,231","$429,309","$405,415","$378,293","$294,878",,JAN'24,0.270%,0.140%,0.180%,0.310%,0.430%,0.620%,0.930%,,JAN'24,,,,,0.001%,,
