Table A.1,,,,,,,,,,,,,,Table A.2,,,,,,,,,,
Consumer Price Index of Key Categories,,,,,,,,,,,,,,YOY Inflation for Key CPI Categories,,,,,,,,,,
Index (2024=100),,,,,,,,,,,,,,,,,,,,,,,,
,All Items, MAS Core,CPI Less Accomodation,CPI Less Imputed Rentals for Housing,Food,Services,Retail & Other Goods,Electricity & Gas,Private Transport,Accommodation,,,,,All Items, MAS Core,CPI Less Accomodation,CPI Less Imputed Rentals for Housing,Food,Services,Retail & Other Goods,Electricity & Gas,Private Transport,Accommodation
Jun,0.6,1.5,1.5,-1.8,0.9,2.4,0.3,0.2,1.4,2.9,1.2,99.8,,Jun,0.6,1.7,1.5,9.1,5.6,74.4,,,,
Jul,0.6,1.5,2.3,-1,0.5,2,-0.3,0.2,1.7,2.4,0.9,100.2,,Jul,0.6,1.9,1.5,10,-2.8,74.3,,,,
Aug,0.7,1.7,2.8,-0.6,0.7,2,-0.2,-1.5,1.6,2.4,1.1,100.1,,Aug,0.7,1.9,1.6,9.2,-1.4,72.5,,,,
Sep,0.7,1.6,1.8,-0.5,0.8,2,-0.1,-1.6,1.2,2.9,1.1,100.1,,Sep,0.7,1.8,1.5,9.2,-3.4,78.9,,,,
Oct,0.7,1.4,1.2,-0.2,0.9,1.8,-0.5,-1.2,1,3.2,1.1,100.2,,Oct,0.7,1.9,1.5,9.7,-2.4,81,,,,
Nov,0.3,1.4,0.8,0,0.7,1.6,-2.8,-3,0.9,3.2,1.4,99.9,,Nov,0.3,1.7,0.9,3.6,-4.1,64.8,,,,
Dec,0.5,1.4,2.6,0.1,0.8,1.6,-2.6,-2.7,1.7,3.2,1.4,100,,Dec,0.5,1.9,1.1,-0.7,-2.2,57.4,,,,
2019 Jan,0.4,1.4,2.5,-0.5,0.7,1.7,-1.8,-2.9,0.9,3.2,1.4,100.1,,2019 Jan,0.4,1.7,0.9,N.A.,-5,59.4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Table A.1,,,,,,,,,,,,,,Table A.2,,,,,,,,,,
Consumer Price Index,,,,,,,,,,,,,,Selected Inflation Indicators,,,,,,,,,,
YOY % Growth Index,,,,,,,,,,,,,,YOY % GROWTH,,,,,,,,,,
(2009=100),,,,,,,,,,,,,,,CPI,MAS Core Inflation,CPI Less Imputed Rental on OOA,Import Price Index,S&P Non-Energy GSCI Index,Brent Crude Spot Prices,,,,
,All Items,Food,Clothing & Footwear,Housing,Transport,Comms,Education & Stationery,Health Care,Recreation & Others,"All Items, S.A.",,,,2012 Dec,4.3,1.9,3.8,-5.7,4.5,-0.8,,,,
Weights,10000,2205,341,2548,1553,475,735,586,1557,10000,,,,2013 Jan,3.6,1.2,2.9,-6,4.1,-2.1,,,,
2012 Dec,4.3,1.5,2.6,6.7,8.2,-1.3,3.5,4.6,1.5,115.2,,,,Feb,4.9,1.9,4.6,-4.3,1.7,-4,,,,
2013 Jan,3.6,1,1.3,4.4,8.5,-1.3,3.5,3.5,1.6,115.4,,,,Mar,3.5,1.7,3,-6.3,-2.2,-13.4,,,,
Feb,4.9,2.3,0.5,4.2,13.9,-1.2,3.5,3.3,3.1,116.2,,,,Apr,1.5,1.4,0.6,-7.1,-3.1,-14.6,,,,
Mar,3.5,1.8,1.4,4.1,6.9,-1.1,3.5,3.9,2.6,115.8,,,,May,1.6,1.7,0.8,-4.7,0.6,-6.9,,,,
Apr,1.5,1.8,-0.1,1.1,0.5,-1.3,2.9,3.4,2.4,114.8,,,,Jun,1.8,1.7,1.1,-0.9,2.3,7.5,,,,
May,1.6,2,1.1,3.3,-2.8,-1.4,2.9,4.2,2.8,114.5,,,,Jul,1.9,1.6,1.3,-0.6,-2.1,4.9,,,,
Jun,1.8,2,0.6,3,-1.6,-1.4,2.9,4.3,3,114.7,,,,Aug,2,1.8,1.6,-1.5,-1.7,-1.8,,,,
Jul,1.9,2.1,0,1.3,1.7,-1.6,2.9,4,2.7,115.5,,,,Sep,1.6,1.7,1.1,-2,-4.5,-1.8,,,,
Aug,2,2.4,-0.3,2.6,0.2,-1.7,3.3,3.9,3.1,116,,,,Oct,2,1.8,1.6,-1.4,-3.1,-1.5,,,,
Sep,1.6,2.4,-1.5,2.3,-1.5,-1.9,3.3,4,3.1,116.1,,,,Nov,2.6,2.1,2.4,0.3,-2.7,-1.8,,,,
Oct,2,2.5,-1,1.1,2.3,-1.5,3.5,3.7,2.6,116.8,,,,Dec,1.5,2,1.2,1.8,-3.2,1.2,,,,
Nov,2.6,2.6,2.1,2.3,2.9,-1.5,3.5,3.6,3.1,117.1,,,,2014 Jan,1.4,2.2,1.2,N.A.,-6.3,-4,,,,
Dec,1.5,2.7,-0.1,2,-2.1,-0.9,3.5,3.8,2.7,116.8,,,,,,,,,,,,,,
2014 Jan,1.4,3,-0.1,1.8,-2.7,-0.5,2.9,3.9,2.9,116.9,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
